Posit32到Posit16和Posit8转换结果对比
============================================================
    Posit32(原始)    |    转换为P16    |    转换为P8    
  Hex     Value      |  Value(精度损失) |  Value(精度损失) 
------------------------------------------------------------
0x5b000000 044.000000 | 044.000000 0000.00% | 048.0000 0009.09%
0x5a5b6db0 041.428570 | 041.437500 0000.02% | 040.0000 0003.45%
0x52449250 041.071430 | 041.062500 0000.02% | 040.0000 0002.61%
0x55e85640 055.630264 | 055.625000 0000.01% | 056.0000 0000.66%
0x5a000000 040.000000 | 040.000000 0000.00% | 040.0000 0000.00%
0x61000000 320.000000 | 320.000000 0000.00% | 320.0000 0000.00%
0x59c6db70 039.107143 | 039.093750 0000.03% | 040.0000 0002.28%
0x597969c0 037.897079 | 037.906250 0000.02% | 040.0000 0005.55%
0x5b000000 044.000000 | 044.000000 0000.00% | 048.0000 0009.09%
0x56049250 056.071430 | 056.062500 0000.02% | 056.0000 0000.13%
0x56bb6db0 058.928570 | 058.937500 0000.02% | 056.0000 0004.97%
0x5f47b570 061.120449 | 061.125000 0000.01% | 036.0000 0041.10%
0x5c000000 048.000000 | 048.000000 0000.00% | 048.0000 0000.00%
0x5976db70 037.857143 | 037.843750 0000.04% | 040.0000 0005.66%
0x58a92490 034.642857 | 034.656250 0000.04% | 032.0000 0007.63%
0x58f886e0 035.883232 | 035.875000 0000.02% | 032.0000 0010.82%
0x5c000000 048.000000 | 048.000000 0000.00% | 048.0000 0000.00%
0x5ad92490 043.392857 | 043.406250 0000.03% | 040.0000 0007.82%
0x5176db70 037.857143 | 037.843750 0000.04% | 040.0000 0005.66%
0x5a8a1870 042.157742 | 042.156250 0000.00% | 040.0000 0005.12%
0x5a000000 040.000000 | 040.000000 0000.00% | 040.0000 0000.00%
0x536db6e0 045.714287 | 045.718750 0000.01% | 048.0000 0005.00%
0x5e100000 056.250000 | 056.250000 0000.00% | 056.0000 0000.44%
0x57860a00 062.094360 | 062.093750 0000.00% | 036.0000 0042.02%
0x5a000000 040.000000 | 040.000000 0000.00% | 040.0000 0000.00%
0x5e3db6e0 056.964287 | 056.968750 0000.01% | 056.0000 0001.69%
0x5b900000 046.250000 | 046.250000 0000.00% | 048.0000 0003.78%
0x569db0c0 058.463913 | 058.468750 0000.01% | 056.0000 0004.21%
0x5b000000 044.000000 | 044.000000 0000.00% | 048.0000 0009.09%
0x51049250 036.071430 | 036.062500 0000.02% | 040.0000 0010.89%
0x5a392490 040.892857 | 040.906250 0000.03% | 040.0000 0002.18%
0x4bb56c90 023.417376 | 023.421875 0000.02% | 024.0000 0002.49%
0x5a000000 040.000000 | 040.000000 0000.00% | 040.0000 0000.00%
0x55924920 054.285713 | 054.281250 0000.01% | 056.0000 0003.16%
0x5d2b6db0 052.678570 | 052.687500 0000.02% | 056.0000 0006.31%
0x6035a060 269.406616 | 269.500000 0000.03% | 256.0000 0004.98%
0x5b000000 044.000000 | 044.000000 0000.00% | 048.0000 0009.09%
0x59bb6db0 038.928570 | 038.937500 0000.02% | 040.0000 0002.75%
0x59e92490 039.642857 | 039.656250 0000.03% | 040.0000 0000.90%
0x47039600 030.028015 | 030.031250 0000.01% | 018.0000 0040.06%
0x5c000000 048.000000 | 048.000000 0000.00% | 048.0000 0000.00%
0x5b06db70 044.107143 | 044.093750 0000.03% | 048.0000 0008.83%
0x5536db70 052.857143 | 052.843750 0000.03% | 056.0000 0005.95%
0x5f9809f0 062.375607 | 062.375000 0000.00% | 036.0000 0042.29%
0x5a000000 040.000000 | 040.000000 0000.00% | 040.0000 0000.00%
0x57449250 061.071430 | 061.062500 0000.01% | 036.0000 0041.05%
0x5e049250 056.071430 | 056.062500 0000.02% | 056.0000 0000.13%
0x60825870 288.586365 | 288.500000 0000.03% | 320.0000 0010.89%
0x5a000000 040.000000 | 040.000000 0000.00% | 040.0000 0000.00%
0x55c00000 055.000000 | 055.000000 0000.00% | 056.0000 0001.82%
0x52892490 042.142857 | 042.156250 0000.03% | 040.0000 0005.08%
0x6035a060 269.406616 | 269.500000 0000.03% | 256.0000 0004.98%
0x5c000000 048.000000 | 048.000000 0000.00% | 048.0000 0000.00%
0x53c92490 047.142857 | 047.156250 0000.03% | 048.0000 0001.82%
0x5c5db6e0 049.464287 | 049.468750 0000.01% | 048.0000 0002.96%
0x606bddb0 282.966492 | 283.000000 0000.01% | 256.0000 0009.53%
0x5a000000 040.000000 | 040.000000 0000.00% | 040.0000 0000.00%
0x59492490 037.142857 | 037.156250 0000.04% | 040.0000 0007.69%
0x61000000 320.000000 | 320.000000 0000.00% | 320.0000 0000.00%
0x574d0c40 061.203873 | 061.218750 0000.02% | 036.0000 0041.18%
0x5c000000 048.000000 | 048.000000 0000.00% | 048.0000 0000.00%
0x5a892490 042.142857 | 042.156250 0000.03% | 040.0000 0005.08%
0x56a49250 058.571430 | 058.562500 0000.02% | 056.0000 0004.39%
0x567a0840 057.906754 | 057.906250 0000.00% | 056.0000 0003.29%
0x5c000000 048.000000 | 048.000000 0000.00% | 048.0000 0000.00%
0x56a49250 058.571430 | 058.562500 0000.02% | 056.0000 0004.39%
0x5b292490 044.642857 | 044.656250 0000.03% | 048.0000 0007.52%
0x62405cd0 400.090637 | 400.000000 0000.02% | 384.0000 0004.02%
0x5b000000 044.000000 | 044.000000 0000.00% | 048.0000 0009.09%
0x5dedb6e0 055.714287 | 055.718750 0000.01% | 056.0000 0000.51%
0x58f92490 035.892857 | 035.906250 0000.04% | 032.0000 0010.85%
0x489974e0 017.198879 | 017.203125 0000.02% | 016.0000 0006.97%
0x5c000000 048.000000 | 048.000000 0000.00% | 048.0000 0000.00%
0x56049250 056.071430 | 056.062500 0000.02% | 056.0000 0000.13%
0x55924920 054.285713 | 054.281250 0000.01% | 056.0000 0003.16%
0x5e8f00d0 058.234425 | 058.250000 0000.03% | 056.0000 0003.84%
0x5b000000 044.000000 | 044.000000 0000.00% | 048.0000 0009.09%
0x5bf6db70 047.857143 | 047.843750 0000.03% | 048.0000 0000.30%
0x561b6db0 056.428570 | 056.437500 0000.02% | 056.0000 0000.76%
0x5c8e5780 050.224091 | 050.218750 0000.01% | 048.0000 0004.43%
0x5b000000 044.000000 | 044.000000 0000.00% | 048.0000 0009.09%
0x51600000 037.500000 | 037.500000 0000.00% | 040.0000 0006.67%
0x598db6e0 038.214287 | 038.218750 0000.01% | 040.0000 0004.67%
0x531b3ff0 044.425777 | 044.437500 0000.03% | 048.0000 0008.05%
0x5b000000 044.000000 | 044.000000 0000.00% | 048.0000 0009.09%
0x525b6db0 041.428570 | 041.437500 0000.02% | 040.0000 0003.45%
0x54db6db0 051.428570 | 051.437500 0000.02% | 048.0000 0006.67%
0x582de4d0 032.717091 | 032.718750 0000.01% | 032.0000 0002.19%
0x5a000000 040.000000 | 040.000000 0000.00% | 040.0000 0000.00%
0x58f92490 035.892857 | 035.906250 0000.04% | 032.0000 0010.85%
0x61000000 320.000000 | 320.000000 0000.00% | 320.0000 0000.00%
0x58ca0e40 035.157120 | 035.156250 0000.00% | 032.0000 0008.98%
0x5a000000 040.000000 | 040.000000 0000.00% | 040.0000 0000.00%
0x5b400000 045.000000 | 045.000000 0000.00% | 048.0000 0006.67%
0x55a92490 054.642857 | 054.656250 0000.02% | 056.0000 0002.48%
0x5b03f7a0 044.061989 | 044.062500 0000.00% | 048.0000 0008.94%
0x5b000000 044.000000 | 044.000000 0000.00% | 048.0000 0009.09%
0x5b292490 044.642857 | 044.656250 0000.03% | 048.0000 0007.52%
0x5e324920 056.785713 | 056.781250 0000.01% | 056.0000 0001.38%
0x54282840 048.627457 | 048.625000 0000.01% | 048.0000 0001.29%
0x5c000000 048.000000 | 048.000000 0000.00% | 048.0000 0000.00%
0x5da92490 054.642857 | 054.656250 0000.02% | 056.0000 0002.48%
0x53b24920 046.785713 | 046.781250 0000.01% | 048.0000 0002.60%
0x432fd000 022.373535 | 022.375000 0000.01% | 024.0000 0007.27%
0x5b000000 044.000000 | 044.000000 0000.00% | 048.0000 0009.09%
0x52e49250 043.571430 | 043.562500 0000.02% | 040.0000 0008.20%
0x5cd00000 051.250000 | 051.250000 0000.00% | 048.0000 0006.34%
0x59c14150 039.019611 | 039.031250 0000.03% | 040.0000 0002.51%
0x5c000000 048.000000 | 048.000000 0000.00% | 048.0000 0000.00%
0x5886db70 034.107143 | 034.093750 0000.04% | 032.0000 0006.18%
0x54db6db0 051.428570 | 051.437500 0000.02% | 048.0000 0006.67%
0x597e6210 037.974735 | 037.968750 0000.02% | 040.0000 0005.33%
0x5c000000 048.000000 | 048.000000 0000.00% | 048.0000 0000.00%
0x56a49250 058.571430 | 058.562500 0000.02% | 056.0000 0004.39%
0x5a66db70 041.607143 | 041.593750 0000.03% | 040.0000 0003.86%
0x5f122ec0 060.284103 | 060.281250 0000.00% | 036.0000 0040.28%
0x5b000000 044.000000 | 044.000000 0000.00% | 048.0000 0009.09%
0x51d24920 039.285713 | 039.281250 0000.01% | 040.0000 0001.82%
0x554db6e0 053.214287 | 053.218750 0000.01% | 056.0000 0005.23%
0x5267fa60 041.624657 | 041.625000 0000.00% | 040.0000 0003.90%
0x5a000000 040.000000 | 040.000000 0000.00% | 040.0000 0000.00%
0x539b6db0 046.428570 | 046.437500 0000.02% | 048.0000 0003.38%
0x584db6e0 033.214287 | 033.218750 0000.01% | 032.0000 0003.66%
0x6035a060 269.406616 | 269.500000 0000.03% | 256.0000 0004.98%
0x5c000000 048.000000 | 048.000000 0000.00% | 048.0000 0000.00%
0x51a49250 038.571430 | 038.562500 0000.02% | 040.0000 0003.70%
0x5b56db70 045.357143 | 045.343750 0000.03% | 048.0000 0005.83%
0x589f4a10 034.488895 | 034.500000 0000.03% | 032.0000 0007.22%
0x5a000000 040.000000 | 040.000000 0000.00% | 040.0000 0000.00%
0x5c692490 049.642857 | 049.656250 0000.03% | 048.0000 0003.31%
0x51492490 037.142857 | 037.156250 0000.04% | 040.0000 0007.69%
0x40aa45d0 017.330256 | 017.328125 0000.01% | 016.0000 0007.68%
0x5a000000 040.000000 | 040.000000 0000.00% | 040.0000 0000.00%
0x5b56db70 045.357143 | 045.343750 0000.03% | 048.0000 0005.83%
0x57892490 062.142857 | 062.156250 0000.02% | 036.0000 0042.07%
0x487147f0 016.885008 | 016.890625 0000.03% | 016.0000 0005.24%
0x5c000000 048.000000 | 048.000000 0000.00% | 048.0000 0000.00%
0x56bb6db0 058.928570 | 058.937500 0000.02% | 056.0000 0004.97%
0x5da92490 054.642857 | 054.656250 0000.02% | 056.0000 0002.48%
0x61ba81a0 366.626587 | 366.750000 0000.03% | 384.0000 0004.74%
0x5b000000 044.000000 | 044.000000 0000.00% | 048.0000 0009.09%
0x58592490 033.392857 | 033.406250 0000.04% | 032.0000 0004.17%
0x5d86db70 054.107143 | 054.093750 0000.02% | 056.0000 0003.50%
0x58011360 032.016808 | 032.031250 0000.05% | 032.0000 0000.05%
0x5b000000 044.000000 | 044.000000 0000.00% | 048.0000 0009.09%
0x59b00000 038.750000 | 038.750000 0000.00% | 040.0000 0003.23%
0x584db6e0 033.214287 | 033.218750 0000.01% | 032.0000 0003.66%
0x60f53e60 317.310913 | 317.250000 0000.02% | 320.0000 0000.85%
0x5b000000 044.000000 | 044.000000 0000.00% | 048.0000 0009.09%
0x58f92490 035.892857 | 035.906250 0000.04% | 032.0000 0010.85%
0x53f6db70 047.857143 | 047.843750 0000.03% | 048.0000 0000.30%
0x5a8d9fe0 042.212883 | 042.218750 0000.01% | 040.0000 0005.24%
0x5b000000 044.000000 | 044.000000 0000.00% | 048.0000 0009.09%
0x5b124920 044.285713 | 044.281250 0000.01% | 048.0000 0008.39%
0x5da92490 054.642857 | 054.656250 0000.02% | 056.0000 0002.48%
0x569b9bb0 058.431377 | 058.437500 0000.01% | 056.0000 0004.16%
0x5a000000 040.000000 | 040.000000 0000.00% | 040.0000 0000.00%
0x5bc92490 047.142857 | 047.156250 0000.03% | 048.0000 0001.82%
0x598db6e0 038.214287 | 038.218750 0000.01% | 040.0000 0004.67%
0x4208fd20 020.070225 | 020.062500 0000.04% | 020.0000 0000.35%
0x5c000000 048.000000 | 048.000000 0000.00% | 048.0000 0000.00%
0x5d649250 053.571430 | 053.562500 0000.02% | 056.0000 0004.53%
0x5cadb6e0 050.714287 | 050.718750 0000.01% | 048.0000 0005.35%
0x46994420 029.197392 | 029.203125 0000.02% | 028.0000 0004.10%
0x5c000000 048.000000 | 048.000000 0000.00% | 048.0000 0000.00%
0x5d592490 053.392857 | 053.406250 0000.03% | 056.0000 0004.88%
0x56600000 057.500000 | 057.500000 0000.00% | 056.0000 0002.61%
0x51935ad0 038.302418 | 038.312500 0000.03% | 040.0000 0004.43%
0x5a000000 040.000000 | 040.000000 0000.00% | 040.0000 0000.00%
0x593db6e0 036.964287 | 036.968750 0000.01% | 040.0000 0008.21%
0x5acdb6e0 043.214287 | 043.218750 0000.01% | 040.0000 0007.44%
0x5a549c20 041.322029 | 041.312500 0000.02% | 040.0000 0003.20%
0x5a000000 040.000000 | 040.000000 0000.00% | 040.0000 0000.00%
0x56492490 057.142857 | 057.156250 0000.02% | 056.0000 0002.00%
0x525b6db0 041.428570 | 041.437500 0000.02% | 040.0000 0003.45%
0x606c6cf8 283.106415 | 283.000000 0000.04% | 256.0000 0009.57%
0x5c000000 048.000000 | 048.000000 0000.00% | 048.0000 0000.00%
0x5af00000 043.750000 | 043.750000 0000.00% | 040.0000 0008.57%
0x59d24920 039.285713 | 039.281250 0000.01% | 040.0000 0001.82%
0x5ae35530 043.552074 | 043.562500 0000.02% | 040.0000 0008.16%
0x5b000000 044.000000 | 044.000000 0000.00% | 048.0000 0009.09%
0x5c3b6db0 048.928570 | 048.937500 0000.02% | 048.0000 0001.90%
0x59a49250 038.571430 | 038.562500 0000.02% | 040.0000 0003.70%
0x53f60bf0 047.844479 | 047.843750 0000.00% | 048.0000 0000.33%
0x5c000000 048.000000 | 048.000000 0000.00% | 048.0000 0000.00%
0x53292490 044.642857 | 044.656250 0000.03% | 048.0000 0007.52%
0x51e92490 039.642857 | 039.656250 0000.03% | 040.0000 0000.90%
0x5c74e6c0 049.826584 | 049.812500 0000.03% | 048.0000 0003.67%
0x5b000000 044.000000 | 044.000000 0000.00% | 048.0000 0009.09%
0x5ae49250 043.571430 | 043.562500 0000.02% | 040.0000 0008.20%
0x58e24920 035.535713 | 035.531250 0000.01% | 032.0000 0009.95%
0x5db458d0 054.817921 | 054.812500 0000.01% | 056.0000 0002.16%
0x5b000000 044.000000 | 044.000000 0000.00% | 048.0000 0009.09%
0x554db6e0 053.214287 | 053.218750 0000.01% | 056.0000 0005.23%
0x5d149250 052.321430 | 052.312500 0000.02% | 056.0000 0007.03%
0x60955550 293.333313 | 293.250000 0000.03% | 320.0000 0009.09%
0x5a000000 040.000000 | 040.000000 0000.00% | 040.0000 0000.00%
0x53f6db70 047.857143 | 047.843750 0000.03% | 048.0000 0000.30%
0x5db49250 054.821430 | 054.812500 0000.02% | 056.0000 0002.15%
0x5a807310 042.007023 | 042.000000 0000.02% | 040.0000 0004.78%
0x5b000000 044.000000 | 044.000000 0000.00% | 048.0000 0009.09%
0x525b6db0 041.428570 | 041.437500 0000.02% | 040.0000 0003.45%
0x57fb6db0 063.928570 | 063.937500 0000.01% | 036.0000 0043.69%
0x5a7486e0 041.820732 | 041.812500 0000.02% | 040.0000 0004.35%
0x5a000000 040.000000 | 040.000000 0000.00% | 040.0000 0000.00%
0x5aab6db0 042.678570 | 042.687500 0000.02% | 040.0000 0006.28%
0x59824920 038.035713 | 038.031250 0000.01% | 040.0000 0005.16%
0x49cfff30 019.624975 | 019.625000 0000.00% | 020.0000 0001.91%
0x5c000000 048.000000 | 048.000000 0000.00% | 048.0000 0000.00%
0x53124920 044.285713 | 044.281250 0000.01% | 048.0000 0008.39%
0x59e92490 039.642857 | 039.656250 0000.03% | 040.0000 0000.90%
0x60a3a3a8 296.909821 | 297.000000 0000.03% | 320.0000 0007.78%
0x5b000000 044.000000 | 044.000000 0000.00% | 048.0000 0009.09%
0x59492490 037.142857 | 037.156250 0000.04% | 040.0000 0007.69%
0x51600000 037.500000 | 037.500000 0000.00% | 040.0000 0006.67%
0x48e85660 017.815136 | 017.812500 0000.01% | 016.0000 0010.19%
0x5a000000 040.000000 | 040.000000 0000.00% | 040.0000 0000.00%
0x5bc92490 047.142857 | 047.156250 0000.03% | 048.0000 0001.82%
0x5cadb6e0 050.714287 | 050.718750 0000.01% | 048.0000 0005.35%
0x53e04290 047.504063 | 047.500000 0000.01% | 048.0000 0001.04%
0x5b000000 044.000000 | 044.000000 0000.00% | 048.0000 0009.09%
0x5a5b6db0 041.428570 | 041.437500 0000.02% | 040.0000 0003.45%
0x54249250 048.571430 | 048.562500 0000.02% | 048.0000 0001.18%
0x59679e80 037.619049 | 037.625000 0000.02% | 040.0000 0006.33%
0x5c000000 048.000000 | 048.000000 0000.00% | 048.0000 0000.00%
0x53400000 045.000000 | 045.000000 0000.00% | 048.0000 0006.67%
0x5d7b6db0 053.928570 | 053.937500 0000.02% | 056.0000 0003.84%
0x5d276060 052.615257 | 052.625000 0000.02% | 056.0000 0006.43%
0x5a000000 040.000000 | 040.000000 0000.00% | 040.0000 0000.00%
0x5bbdb6e0 046.964287 | 046.968750 0000.01% | 048.0000 0002.21%
0x5cf24920 051.785713 | 051.781250 0000.01% | 048.0000 0007.31%
0x5374dba0 045.825905 | 045.812500 0000.03% | 048.0000 0004.74%
0x5c000000 048.000000 | 048.000000 0000.00% | 048.0000 0000.00%
0x57449250 061.071430 | 061.062500 0000.01% | 036.0000 0041.05%
0x59100000 036.250000 | 036.250000 0000.00% | 040.0000 0010.34%
0x5d2a0da0 052.657082 | 052.656250 0000.00% | 056.0000 0006.35%
0x5a000000 040.000000 | 040.000000 0000.00% | 040.0000 0000.00%
0x5b292490 044.642857 | 044.656250 0000.03% | 048.0000 0007.52%
0x57b6db70 062.857143 | 062.843750 0000.02% | 036.0000 0042.73%
0x52818bb0 042.024151 | 042.031250 0000.02% | 040.0000 0004.82%
0x5a000000 040.000000 | 040.000000 0000.00% | 040.0000 0000.00%
0x5dd6db70 055.357143 | 055.343750 0000.02% | 056.0000 0001.16%
